NUM_POSTE;NOM_USUEL;COMMUNE;LIEU_DIT;DATOUVR;DATFERM;LAT;LON;LAMBX;LAMBY;ALTI;TYPE_POSTE_ACTUEL
56023001;BRECH-SPC;BRECH;SPC-222-BRECH;2017-01-15;2019-08-31;47.722500;-2.988833;2007;23161;21;5
56081002;GUISCRIFF-SPC;GUISCRIFF;SPC-222-GUISCRIFF(Cleuziou-Guen);2004-08-01;2019-08-31;48.024167;-3.625000;1556;23530;188;5
56105002;LANVENEGEN-SPC;LANVENEGEN;SPC-222-LANVENEGEN(Loge-Coucou);2004-08-01;2019-07-31;47.985000;-3.493333;1651;23479;110;5
56124002;MALESTROIT-SPC;MALESTROIT;SPC-223-(Ecluse Malestroit);2006-09-01;2019-08-31;47.812167;-2.382500;2467;23231;16;5
56144002;NAIZIN-SPC;EVELLYS;SPC-223-NAIZIN(STE-BRIGITTE);2004-08-01;2016-12-19;48.016667;-2.805833;2165;23478;120;5
56160001;PLEUGRIFFET-SPC;PLEUGRIFFET;SPC-223-PLEUGRIFFET(CADORET);2004-08-01;;47.998667;-2.652500;2278;23451;104;5
56170002;PLOURAY-SPC;PLOURAY;SPC-222-PLOURAY(Kerroc'h);2004-08-01;2019-08-31;48.122500;-3.367500;1756;23624;196;5
56178004;PONTIVY-SPC;PONTIVY;SPC-223-PONTIVY(SUBDI);2004-08-01;2019-08-31;48.058333;-2.967500;2048;23532;70;5
56203001;ST-AIGNAN-SPC;SAINT-AIGNAN;SPC-223-St-AIGNAN(LE TOULDREN);2004-08-01;2019-08-31;48.175667;-3.012333;2024;23665;83;5
56242001;SEGLIEN-SPC;SEGLIEN;SPC-223-SEGLIEN;2004-08-01;;48.105333;-3.159667;1909;23594;220;5
57126001;CHAMBREY-SPC;CHAMBREY;SPC-222-Chambrey;2004-08-01;;48.784333;6.457167;9028;24286;209;5
57209003;FAULQUEMONT-SPC;FAULQUEMONT;SPC-222-FAULQUEMONT;2007-05-01;;49.046667;6.614500;9128;24584;251;5
57489002;MOUTERHOUSE-SPC;MOUTERHOUSE;SPC-222-Mouterhouse;2013-04-14;2020-09-18;48.984167;7.452500;9744;24551;251;5
57587002;RODALBE-SPC;RODALBE;SPC-223-Rodalbe;2004-08-01;;48.914833;6.690333;9191;24440;242;5
58062004;CHATEAU-CHINON-SPC;CHATEAU-CHINON (VILLE);SPC-223-Chateau-Chinon;2004-08-01;;47.070333;3.934333;7213;22313;594;5
58144001;LIVRY-SPC;LIVRY;SPC-223-Pont du Veurdre;2004-08-01;;46.758833;3.049667;6544;21957;192;5
58149004;LUZY-SPC;LUZY;SPC-222-Luzy;2004-08-01;;46.789167;3.962500;7241;22001;270;5
58267004;SAINT-SAULGE-SPC;SAINT-SAULGE;SPC-223-St-Saulge;2004-08-01;;47.103000;3.511333;6891;22343;310;5
58306001;VERNEUIL-SPC;VERNEUIL;SPC-223-Verneuil;2014-07-03;;46.853167;3.573833;6943;22067;198;5
